                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0962,                 3.5038,                 1.5768,                0.73188,                0.08006,                0.06464,                0.03467,                 1.9551,                 2.7627,                 1.5386,             0.00018334,             0.00018334,             0.00018334
                      2,                 1.8653,                 2.4337,                 1.4498,                0.74548,                0.11015,                0.08093,                0.04447,                 1.8298,                 2.2736,                 1.4631,             0.00036137,             0.00036137,             0.00036137
                      3,                 1.7796,                 2.2567,                 1.4246,                0.73901,                0.12358,                0.10504,                 0.0572,                 1.7512,                  2.248,                 1.4371,             0.00053207,             0.00053207,             0.00053207
                      4,                 1.7183,                 2.1972,                 1.3887,                0.70207,                 0.1611,                0.12858,                 0.0746,                  1.676,                 2.0929,                 1.3836,             0.00052297,             0.00052297,             0.00052297
                      5,                  1.682,                 2.1004,                 1.3753,                0.77977,                0.15295,                0.13854,                0.07941,                 1.6934,                 2.0206,                 1.4052,             0.00052297,             0.00052297,             0.00052297
                      6,                 1.6398,                 2.0239,                 1.3497,                0.43025,                0.18188,                0.14666,                  0.086,                 1.6209,                 1.9774,                 1.3598,             0.00051196,             0.00051196,             0.00051196
                      7,                 1.6215,                 1.9731,                 1.3354,                0.54622,                0.21825,                0.18403,                0.11329,                 1.5992,                 1.9272,                 1.3386,             0.00050096,             0.00050096,             0.00050096
                      8,                 1.6152,                  1.971,                 1.3297,                0.64032,                0.18479,                   0.22,                0.13419,                 1.6113,                 1.9042,                 1.3666,             0.00048995,             0.00048995,             0.00048995
                      9,                  1.581,                 1.9035,                 1.3191,                0.65774,                0.19349,                0.19395,                0.11166,                 1.5705,                 1.8768,                  1.337,             0.00047894,             0.00047894,             0.00047894
                     10,                 1.5387,                 1.8672,                  1.296,                0.50235,                0.20586,                0.19195,                0.11474,                 1.5708,                 1.8628,                 1.3316,             0.00046793,             0.00046793,             0.00046793
